id,name,nickname,description,code,alphaVal,numVal,cat,subcat,root,halfTurn,fullTurn,beginsOn,endsOn,beginsFacing,endsFacing,startGrip,endGrip,isShaposh
160,Toe-on bwd 1/2 turn to back pike,,From HB – underswing with 1/2 turn (180 deg) to salto bwd piked,6.303,C,3,Dismounts,,Toe-on bwd,1,0,high,,high,,regular,,0
161,Clear hip bwd 1/2 turn to back tuck,,From HB – clear underswing with 1/2 turn (180 deg) to salto bwd tucked,6.303,C,3,Dismounts,,Clear hip bwd,1,0,high,,high,,regular,,0
162,Clear hip bwd 1/2 turn to back pike,,From HB – clear underswing with 1/2 turn (180 deg) to salto bwd piked,6.303,C,3,Dismounts,,Clear hip bwd,1,0,high,,high,,regular,,0
163,Toe-on bwd 1/2 turn to back layout,,From HB – underswing with 1/2 turn (180 deg) to salto bwd stretched,6.403,D,4,Dismounts,,Toe-on bwd,1,0,high,,high,,regular,,0
164,Clear hip bwd 1/2 turn to back layout,,From HB – clear underswing with 1/2 turn (180 deg) to salto bwd stretched,6.403,D,4,Dismounts,,Clear hip bwd,1,0,high,,high,,regular,,0
165,Toe-on bwd 1/2 turn to back tuck 1/1,,From HB – underswing with 1/2 turn (180 deg) to salto bwd tucked with 1/1 twist (360 deg),6.403,D,4,Dismounts,,Toe-on bwd,1,0,high,,high,,regular,,0
166,Flyaway,,Swing fwd to salto bwd tucked piked or stretched,6.104,A,1,Dismounts,,Giant,0,0,high,,high,,regular,,0
167,1/2 twist,,Swing fwd to salto bwd tucked or stretched with 1/2 turn (180 deg),6.204,B,2,Dismounts,,Giant,1,0,high,,high,,regular,,0
168,Full twist,,Swing fwd to salto bwd tucked or stretched with 1/1 turn (360 deg),6.204,B,2,Dismounts,,Giant,1,0,high,,high,,regular,,0
169,3/2 twist,,Swing fwd to salto bwd stretched with 1 1/2 turn (540 deg),6.304,C,3,Dismounts,,Giant,1,0,high,,high,,regular,,0
170,Double twist,,Swing fwd to salto bwd stretched with 2/1 turn (720 deg),6.304,C,3,Dismounts,,Giant,1,0,high,,high,,regular,,0
171,5/2 twist,,Swing fwd to salto bwd stretched with 21/2 turn (900 deg),6.404,D,4,Dismounts,,Giant,1,0,high,,high,,regular,,0
172,Triple twist,,Swing fwd to salto bwd stretched with 3/1 turn (1080 deg),6.504,E,5,Dismounts,,Giant,1,0,high,,high,,regular,,0
173,Double back tuck,,Swing fwd to double salto bwd tucked,6.205,B,2,Dismounts,,Giant,0,0,high,,high,,regular,,0
174,Double back pike,,Swing fwd to double salto bwd piked,6.305,C,3,Dismounts,,Giant,0,0,high,,high,,regular,,0
175,Full-twisting double tuck,,Swing fwd to double salto bwd tucked with 1/1 turn (360 deg) in first or second salto,6.405,D,4,Dismounts,,Giant,1,0,high,,high,,regular,,0
176,Full-twisting double pike,,Swing fwd to double salto bwd piked with 1/1 turn (360 deg) in first or second salto,6.405,D,4,Dismounts,,Giant,1,0,high,,high,,regular,,0
177,3/2-twisting double tuck,Mustafina,Swing fwd to double salto bwd tucked with 1 1/2 turn (540 deg),6.505,E,5,Dismounts,,Giant,1,0,high,,high,,regular,,0
178,Double-twisting double tuck,Fabrichnova,Swing fwd to double salto bwd tucked with 2/1 turn (720 deg),6.605,F,6,Dismounts,,Giant,1,0,high,,high,,regular,,0
179,Double layout,,Swing fwd to double salto bwd stretched,6.406,D,4,Dismounts,,Giant,0,0,high,,high,,regular,,0
180,Full-twisting double layout,,Swing fwd to double salto bwd stretched with 1/1 turn (360 deg) in first or second salto,6.506,E,5,Dismounts,,Giant,1,0,high,,high,,regular,,0
181,Double-twisting double layout,Ray,Swing fwd to double salto bwd stretched with 2/1 turn (720 deg),6.706,G,7,Dismounts,,Giant,1,0,high,,high,,regular,,0
182,Back tuck 1/2 into front tuck,,Swing fwd to salto bwd tucked with 1/2 turn (180 deg) – into salto fwd tucked,6.407,D,4,Dismounts,,Giant,1,0,high,,high,,regular,,0
183,Double Arabian tucked,,Swing fwd with 1/2 turn (180 deg) to double salto fwd tucked,6.407,D,4,Dismounts,,Giant,1,0,high,,high,,regular,,0
184,Back layout 1/2 into front layout,,Swing fwd to salto bwd stretched with 1/2 turn (180 deg) – into salto fwd stretched,6.507,E,5,Dismounts,,Giant,1,0,high,,high,,regular,,0
185,Double Arabian piked,,Swing fwd with 1/2 turn (180 deg) to double salto fwd piked,6.507,E,5,Dismounts,,Giant,1,0,high,,high,,regular,,0
186,Triple back,Magana,Swing fwd to triple salto bwd tucked,6.707,G,7,Dismounts,,Giant,0,0,high,,high,,regular,,0
187,Front tuck,,Swing bwd to salto fwd tucked,6.108,A,1,Dismounts,,Giant,0,0,high,,low,,reverse/L,,0
188,Front pike,,Swing bwd to salto fwd piked,6.108,A,1,Dismounts,,Giant,0,0,high,,low,,reverse/L,,0
189,Front layout,,Swing bwd to salto fwd stretched,6.108,A,1,Dismounts,,Giant,0,0,high,,low,,reverse/L,,0
190,Stalder fwd to front tuck,,Clear straddle circle fwd on HB to salto fwd tucked,6.108,A,1,Dismounts,,Stalder fwd,0,0,high,,low,,reverse/L,,0
191,Front tuck 1/2,,Swing bwd to salto fwd tucked with 1/2 turn (180 deg),6.208,B,2,Dismounts,,Giant,1,0,high,,low,,reverse/L,,0
192,Front layout 1/2,,Swing bwd to salto fwd stretched with 1/2 turn (180 deg),6.208,B,2,Dismounts,,Giant,1,0,high,,low,,reverse/L,,0
193,Front tuck 1/1,,Swing bwd to salto fwd tucked with 1/1 turn (360 deg),6.208,B,2,Dismounts,,Giant,1,0,high,,low,,reverse/L,,0
194,Front layout 1/1,,Swing bwd to salto fwd stretched with 1/1 turn (360 deg),6.208,B,2,Dismounts,,Giant,1,0,high,,low,,reverse/L,,0
195,Front layout 3/2,,Swing bwd to salto fwd stretched with 1 1/2 turn (540 deg),6.308,C,3,Dismounts,,Giant,1,0,high,,low,,reverse/L,,0
196,Front layout 2/1,,Swing bwd to salto fwd stretched 2/1 turn (720 deg),6.308,C,3,Dismounts,,Giant,1,0,high,,low,,reverse/L,,0
197,Double front tuck,,Swing bwd to double salto fwd tucked,6.408,D,4,Dismounts,,Giant,0,0,high,,low,,reverse/L,,0
198,Double front tuck 1/2 out,,Swing bwd to double salto fwd tucked with 1/2 turn (180 deg),6.508,E,5,Dismounts,,Giant,1,0,high,,low,,reverse/L,,0
199,Front tuck 1/2 into back tuck,,Swing bwd to salto fwd with 1/2 turn (180 deg) into salto bwd tucked,6.508,E,5,Dismounts,,Giant,1,0,high,,low,,reverse/L,,0
200,Double front pike 1/2 out,,Swing bwd to double salto fwd piked with 1/2 turn (180 deg),6.608,F,6,Dismounts,,Giant,1,0,high,,low,,reverse/L,,0
201,Hip circle on LB to hecht,,Hip circle bwd (also clear) on LB – hecht,6.209,B,2,Dismounts,,Clear hip bwd,0,0,low,,low,,regular,,0
202,Hip circle on HB to hecht,,Hip circle bwd (also clear) on HB – hecht,6.209,B,2,Dismounts,,Clear hip bwd,0,0,high,,high,,regular,,0
203,Hip circle on LB to hecht 1/1,,Hip circle bwd (also clear) on LB – hecht with 1/1 turn (360 deg),6.309,C,3,Dismounts,,Clear hip bwd,1,0,low,,low,,regular,,0
204,Hip circle on HB to hecht 1/1,,Hip circle bwd (also clear) on HB – hecht with 1/1 turn (360 deg),6.309,C,3,Dismounts,,Clear hip bwd,1,0,high,,high,,regular,,0
205,Hip circle on LB to hecht back tuck,,Hip circle bwd (also clear) on LB – hecht with salto bwd tucked,6.409,D,4,Dismounts,,Clear hip bwd,0,0,low,,low,,regular,,0
206,Hip circle on HB to hecht back tuck,,Hip circle bwd (also clear) on HB – hecht with salto bwd tucked,6.409,D,4,Dismounts,,Clear hip bwd,0,0,high,,high,,regular,,0
207,Hip circle on LB to hecht 1/2 to front tuck,,Hip circle bwd (also clear) on LB – hecht with 1/2 turn (180 deg) to salto fwd,6.509,E,5,Dismounts,,Clear hip bwd,1,0,low,,low,,regular,,0
208,Hip circle on HB to hecht 1/2 to front tuck,,Hip circle bwd (also clear) on HB – hecht with 1/2 turn (180 deg) to salto fwd,6.509,E,5,Dismounts,,Clear hip bwd,1,0,high,,high,,regular,,0
209,Hip circle on LB to hecht 1/1 to back tuck,,Hip circle bwd (also clear) on LB – hecht with 1/1 turn (360 deg) to salto bwd,6.609,F,6,Dismounts,,Clear hip bwd,1,0,low,,low,,regular,,0
210,Hip circle on HB to hecht 1/1 to back tuck,,Hip circle bwd (also clear) on HB – hecht with 1/1 turn (360 deg) to salto bwd,6.609,F,6,Dismounts,,Clear hip bwd,1,0,high,,high,,regular,,0
211,Front tuck from hstd,,On HB - salto fwd tucked,6.21,B,2,Dismounts,,,0,0,high,,high,,regular,,0
212,Front pike from hstd,,On HB – salto fwd piked or salto bwd tucked or piked,6.31,C,3,Dismounts,,,0,0,high,,high,,regular,,0
213,Back tuck from hstd,,On HB – salto fwd piked or salto bwd tucked or piked,6.31,C,3,Dismounts,,,0,0,high,,high,,regular,,0
214,Back pike from hstd,,On HB – salto fwd piked or salto bwd tucked or piked,6.31,C,3,Dismounts,,,0,0,high,,high,,regular,,0
